GaiaDR3,label,stability,Dist,X,Y,Z,VtRA,VtDE,VtRALSR,VtDELSR,RV,Simbad,Region,Group,Bstar,RAdeg,DEdeg,e_RAdeg,e_DEdeg,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,o_Gmag,FG,e_FG,RFG,Gmag,e_Gmag,o_BPmag,FBP,e_FBP,RFBP,BPmag,e_BPmag,o_RPmag,FRP,e_FRP,RFRP,RPmag,e_RPmag,BP-RP,BP-G,G-RP,RV_DR3,e_RV,n_RV,o_RV,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000
6104961111194168960,20,98.8,134.779,103.187,-75.543,42.5566,-15.1,-14.24,-2.775,-1.656,3.0966,Simbad,"UCL","nu Cen","* nu Cen",219.10399925449,-40.17521182211,0.09,0.0795,7.4195,0.1109,-23.634,0.096,-22.281,0.094,1.109,238,2946.04297,4.87282,604.587,17.014269,0.003289,26,364.629,9.6631,37.7342,18.933914,0.028908,24,4456.49,17.6109,253.053,15.625413,0.005718,3.308501,1.919645,1.388856,,,,,219.10413672958,-40.1751127966,1.546444,1.484886
6104974167894880896,20,85.5,129.954,99.4469,-72.779,41.2499,-14.15,-13.65,-1.813,-1.083,3.0803,Simbad,"UCL","nu Cen","* nu Cen",219.06006545038,-40.07979478115,0.0197,0.0163,7.695,0.0206,-22.965,0.022,-22.157,0.019,1.068,184,121402.92205,218.448,555.752,12.976794,0.003378,21,33334.3,262.004,127.228,14.031314,0.008978,20,131110.0,546.237,240.025,11.953804,0.005895,2.07751,1.05452,1.02299,,,,,219.06019884434,-40.07969630609,0.362277,0.30479
6105042371975939584,20,47.9,157.807,120.02,-88.608,51.4469,-15.19,-14.13,-2.751,-1.661,3.0895,Simbad,"UCL","nu Cen","* nu Cen",218.51215549871,-39.69899421875,0.036,0.0292,6.3368,0.0359,-20.306,0.042,-18.882,0.037,1.153,203,17383.49552,20.7253,838.759,15.087024,0.003044,22,3162.0,16.5555,190.994,16.588636,0.006332,22,22077.1,48.1552,458.457,13.888041,0.00446,2.700596,1.501613,1.198983,12.37,5.44,2,7,218.51227279454,-39.69891029672,0.674771,0.585448
6105119853185673344,20,4.7,174.178,134.356,-95.106,56.9331,-12.95,-14.35,-0.754,-1.749,2.7118,Simbad,"UCL","nu Cen","* nu Cen",219.7571642006,-39.20103248523,0.0625,0.0577,5.7412,0.0728,-15.687,0.076,-17.377,0.076,0.867,211,4440.48902,3.96534,1119.83,16.56879,0.002921,23,805.647,10.6167,75.885,18.073181,0.014577,22,5634.07,20.0737,280.669,15.37084,0.005408,2.702341,1.504391,1.19795,,,,,219.75725416718,-39.20095525435,1.233482,1.196751
6105184964890031872,20,81.0,127.042,97.5248,-69.571,42.2904,-14.37,-14.16,-2.086,-1.64,2.7321,Simbad,"UCL","nu Cen","* nu Cen",219.3275679875,-38.95366945511,0.04,0.0306,7.8714,0.0438,-23.859,0.043,-23.517,0.04,1.003,277,8876.18398,11.2948,785.862,15.816801,0.003082,30,1012.74,10.1314,99.9607,17.824799,0.011214,31,12696.7,37.2495,340.855,14.488669,0.004943,3.336129,2.007998,1.328132,,,,,219.32770434438,-38.95356493305,0.690617,0.632782
6105194723057538560,20,71.8,121.613,94.9052,-66.214,37.3964,-14.11,-14.41,-2.132,-1.597,2.7351,Simbad,"UCL","nu Cen","* nu Cen",220.84819529731,-40.09564473975,0.0151,0.0147,8.2228,0.0227,-24.482,0.021,-24.994,0.02,1.165,199,112187.78815,191.033,587.268,13.062503,0.003318,25,31452.5,203.546,154.522,14.094405,0.00756,25,120251.0,438.216,274.41,12.047672,0.005472,2.046733,1.031902,1.014831,3.72,6.9,1,10,220.84833753648,-40.0955336532,0.337537,0.320606
6105213414754156160,20,77.8,151.166,117.705,-82.254,47.2343,-12.89,-14.32,-0.867,-1.551,2.7109,Simbad,"UCL","nu Cen","* nu Cen",220.62893089236,-39.84479367296,0.0159,0.014,6.6152,0.0181,-17.991,0.018,-19.977,0.019,1.127,216,76034.73583,109.057,697.2,13.484837,0.003165,26,19712.3,125.609,156.933,14.6017,0.00746,25,84430.1,294.531,286.66,12.431653,0.005351,2.170047,1.116863,1.053184,7.94,22.83,1,12,220.62903503922,-39.84470488457,0.292049,0.299329
6105230555963451904,20,35.2,161.542,126.639,-86.693,50.4244,-14.31,-14.16,-2.412,-1.33,2.5326,Simbad,"UCL","nu Cen","* nu Cen",221.25205153486,-39.63095958752,0.034,0.0292,6.1903,0.0393,-18.69,0.038,-18.493,0.038,1.055,239,11882.77176,9.69592,1225.54,15.500072,0.002894,26,1864.37,20.9332,89.063,17.162212,0.012506,25,15689.8,20.7847,754.871,14.258852,0.004044,2.90336,1.66214,1.24122,8.85,4.77,2,10,221.25215938934,-39.63087739794,0.61532,0.600857
6105294091419956992,20,69.3,157.302,122.225,-85.064,50.6842,-14.33,-14.79,-2.261,-2.096,2.5994,Simbad,"UCL","nu Cen","* nu Cen",220.41781860953,-39.26951892809,0.153,0.1556,6.3572,0.2053,-19.216,0.193,-19.833,0.195,0.832,217,1180.35706,5.04231,234.091,18.007334,0.005395,13,189.97,23.1699,8.19901,19.641829,0.132452,14,2319.79,31.6748,73.2377,16.334274,0.015299,3.307554,1.634495,1.673059,,,,,220.41792892454,-39.2694307814,3.107904,3.120666
6105294091419957120,15,52.4,157.256,122.189,-85.04,50.6714,-14.93,-14.18,-2.863,-1.489,4.3508,Simbad,"UCL","phi Lup",* phi02 Lup,220.41702243993,-39.26900071117,0.0213,0.0206,6.3591,0.026,-20.028,0.027,-19.025,0.026,1.2,238,38454.99205,93.7664,410.115,14.224985,0.003821,28,8157.79,95.5929,85.3388,15.559611,0.013025,28,46472.7,264.252,175.865,13.079901,0.007239,2.479711,1.334626,1.145084,14.97,4.45,2,10,220.41713741788,-39.26891615653,0.437404,0.417715
